title,artist,og_key
Way Maker,Sinach,D
Build My Life,Housefires,G
Goodness of God,Bethel Music,A
What a Beautiful Name,Hillsong Worship,D
O Come to the Altar,Elevation Worship,Bb
King of Kings,Hillsong Worship,D
Graves Into Gardens,Elevation Worship,F
Living Hope,Phil Wickham,C
"10,000 Reasons",Matt Redman,G
Great Are You Lord,All Sons & Daughters,A
How Great Is Our God,Chris Tomlin,B
Reckless Love,Cory Asbury,G
Here Again,Elevation Worship,D
Who You Say I Am,Hillsong Worship,A
This Is Amazing Grace,Phil Wickham,Bb
Holding Nothing Back,Jesus Culture,E
Love Goes On,Hillsong Young & Free,B
Hosanna,Hillsong United,C
Glorious Day,Passion,D
This Is Living,Hillsong Young & Free,G
